region_bld,clim,urt,arch,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s1,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s2,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s3,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s51_std,25.21327567
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,s52_low,29.64203319
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr11_std,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr12_low,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr21_std,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr22_low,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr31_std,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,sr32_low,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s1,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s2,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s3,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s51_std,21.58084986
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,s52_low,25.71223898
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr11_std,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr12_low,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr21_std,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr22_low,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr31_std,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,sr32_low,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s1,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s2,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s3,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s51_std,25.17218351
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s52_low,29.62885883
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr11_std,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr12_low,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr21_std,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr22_low,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr31_std,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,sr32_low,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,22.26479467
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s51_std,21.70425692
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s52_low,25.66086775
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr11_std,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr12_low,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr21_std,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr22_low,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr31_std,22.26479467
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,sr32_low,22.26479467
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s2,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s3,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s51_std,9.690917463
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s52_low,15.03554725
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr11_std,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr12_low,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr21_std,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr22_low,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr31_std,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,sr32_low,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s1,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s2,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s3,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s51_std,6.167867007
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s52_low,9.912758485
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr11_std,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr12_low,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr21_std,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr22_low,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr31_std,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,sr32_low,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s1,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s2,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s3,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s51_std,10.83118403
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s52_low,16.35781926
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr11_std,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr12_low,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr21_std,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr22_low,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr31_std,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,sr32_low,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s1,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s2,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s3,6.948447607
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s51_std,7.084687492
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s52_low,11.05967024
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr11_std,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr12_low,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr21_std,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr22_low,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr31_std,6.948447607
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,sr32_low,6.948447607
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s1,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s2,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s3,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s51_std,5.938899851
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s52_low,9.696188187
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr11_std,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr12_low,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr21_std,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr22_low,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr31_std,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,sr32_low,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s1,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s2,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s3,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s51_std,3.321279755
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s52_low,6.044306085
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr11_std,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr12_low,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr21_std,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr22_low,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr31_std,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,sr32_low,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s1,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s2,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s3,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s51_std,6.389327835
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s52_low,10.40857433
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr11_std,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr12_low,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr21_std,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr22_low,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr31_std,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,sr32_low,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s1,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s2,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s3,3.290327874
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s51_std,3.668905861
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s52_low,6.508850925
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr11_std,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr12_low,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr21_std,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr22_low,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr31_std,3.290327874
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,sr32_low,3.290327874
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s1,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s2,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s3,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s51_std,3.96740939
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s52_low,8.144518071
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr11_std,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr12_low,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr21_std,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr22_low,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr31_std,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,sr32_low,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s1,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s2,1.157018601
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s3,1.284725589
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s51_std,1.610269871
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s52_low,4.029210574
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr11_std,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr12_low,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr21_std,1.157018601
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr22_low,1.157018601
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr31_std,1.284725589
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,sr32_low,1.284725589
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,1.553776356
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s1,1.844753497
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s2,1.746926506
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s3,2.754317143
